#
#     Data from population synthesis for run4
#
# By Ylva Gotberg, 2023-10-03
#
# Initial conditions:
#   Using the single star models from /home/adesai/snap/firefox/common/Downloads/evolutionary_tracks/grid_006_single_star/ to determine the radii of donors at different evolutionary stages
#   This means that we assume metallicity, Z=0.006
#   Using the lifetimes of stars from single star models in/home/adesai/snap/firefox/common/Downloads/evolutionary_tracks/grid_006_single_star/
#   IMF: Kroupa, M_min = 0.1 Msun, M_max = 100.0 Msun 
# We assume the star-formation type: constant, with a star-formation rate of 0.2 Msun/yr
# This file contains the information about the stars that are present in the population after 100000000.0 years
#   fbin:constant
#   q distribution: flat, 0.1 < q < 1.0
#   P distribution: Sana+12 for M1>15 Msun and Opik24 for M1<15 Msun
#
# Physical assumptions:
#   Critical mass ratio for the donor main sequence, q_crit_MS=0.65
#   Critical mass ratio for the donor Hertzsprung gap, q_crit_HG=0.4
#   Using the alpha-prescription for common envelope evolution
#   alpha_CE = 1.0, lambda_CE = 0.5
#   Using the binary star models from /home/adesai/snap/firefox/common/Downloads/evolutionary_tracks/grid_006/ to determine the masses and radii of stripped stars
#   Stripped stars can only be formed from donor stars with 2.0 < M1init/Msun < 100.0
#   Actually, we assume that binary interaction only can occur in the above mass range.
#   For stripped stars we set the total lifetime to tau_MS+tau_strip, where the duration of the stripped phases (tau_strip) come from the binary models in/home/adesai/snap/firefox/common/Downloads/evolutionary_tracks/grid_006/
#   Mass transfer efficiency is set to beta_MS = 1.0, beta_HG = 0.0, beta_HG_CEE = 0.0
#   For mergers, we assume that their final mass is M1init+M2init
#   The final period is set by the treatment of angular momentum during interaction, we ignore the effect of wind mass loss on the period.
#   We use the isotropic_reemission setting for the treatment of angular momentum.
#   For common envelope, the period is set in the alpha prescription
#   Rejuvenation of mass gainers and MSMS mergers is set by Tout97
#   HGMS mergers are not rejuvenated, but their lifetimes are adapted to the new mass
#
# Even though the full population synthesis accounts for the full mass range from 0.1 to 100.0 Msun, 
# I will only keep the stars with initial masses (Minit or M1init) between 2.0 and 100.0 Msun.
# I am ignoring single stars that died and binaries in which at least the primary died.
# I show dead secondaries as long as the primary is still alive
# For the star state: 1 - main-sequence star, 2 - stripped star, 3 - post main-sequence star, 4 - compact object, 51 - merger product in MS stage.
#
# Star_ID 	 Star_state_m1 	 Star_state_m2 	 Evolution 	 M1init 	 M2init 	 Pinit 	 Pcurrent 	 log_Teff_1 	 log_Teff_2 	 log_L_1 	 log_L_2 	 center_he4_1 	 center_he4_2 	 center_h1_1 	 center_h1_2 	 log_Lnuc_1 	 log_Lnuc_2 	 he_core_mass_1 	 he_core_mass_2 	 log_R_1 	 log_R_2 	 star_age_1 	 star_age_2 	 log_g_1 	 log_g_2 	 star_mass_1 	 star_mass_2 	 surface_n14_1 	 surface_n14_2 	 surface_c12_1 	 surface_c12_2 	 surface_o16_1 	 surface_o16_2 	 surf_avg_v_rot_1 	 surf_avg_v_rot_2 	 surface_h1_1 	 surface_h1_2 	 surface_he4_1 	 surface_he4_2 	 log_abs_mdot_1 	 log_abs_mdot_2
64	1	1	strip_postHG	    4.26953	    4.10080	  411.95010	  411.95010 	    4.23644 	    4.22679 	    2.55722 	    2.49499 	    0.27145 	    0.26972 	    0.72252 	    0.72424 	    2.55787 	    2.49567 	    0.00000 	    0.00000 	    0.32899 	    0.31718 	 8147123.99025 	 8089936.45277 	    4.40968 	    4.41581 	    4.26886 	    4.09780 	    0.00016 	    0.00016 	    0.00060 	    0.00059 	    0.00114 	    0.00113 	    0.00000 	    0.00000 	    0.82021 	    0.82118 	    0.17749 	    0.17654 	  -11.29319 	  -11.42070
168	1	 - 	 single 	   5.36149	 - 	 - 	 - 	    4.23655 	 - 	    3.20414 	 - 	    0.71957 	 - 	    0.27459 	 - 	    3.20464 	 - 	    0.00000 	 - 	    0.65224 	 - 	 73959052.67792 	 - 	    3.86227 	 - 	    5.35990 	 - 	    0.00027 	 - 	    0.00093 	 - 	    0.00236 	 - 	    0.00000 	 - 	    0.76250 	 - 	    0.23249 	 - 	   -9.80178 	 -
209	1	 - 	 single 	   5.28596	 - 	 - 	 - 	    4.28841 	 - 	    2.87868 	 - 	    0.27271 	 - 	    0.72128 	 - 	    2.87932 	 - 	    0.00000 	 - 	    0.38577 	 - 	 5385196.30169 	 - 	    4.38924 	 - 	    5.28894 	 - 	    0.00020 	 - 	    0.00072 	 - 	    0.00158 	 - 	    0.00000 	 - 	    0.79475 	 - 	    0.20211 	 - 	  -10.57821 	 -
245	1	1	strip_RLOF_HG	    3.14912	    1.85486	    7.45886	    7.45886 	    4.15186 	    4.00806 	    2.11414 	    1.23818 	    0.31290 	    0.26938 	    0.68116 	    0.72444 	    2.11448 	    1.23846 	    0.00000 	    0.00000 	    0.27660 	    0.12623 	 50801146.82448 	 47819233.79093 	    4.38232 	    4.45636 	    3.14908 	    1.85414 	    0.00012 	    0.00001 	    0.00048 	    0.00006 	    0.00082 	    0.00001 	    0.00000 	    0.00000 	    0.86088 	    0.95396 	    0.13740 	    0.04596 	  -12.32467 	  -11.93448
285	1	1	strip_RLOF_HG	    8.61842	    7.76348	  106.80772	  106.80772 	    4.38608 	    4.36592 	    3.69575 	    3.51995 	    0.44044 	    0.39869 	    0.55372 	    0.59547 	    3.69605 	    3.52024 	    0.00000 	    0.00000 	    0.59898 	    0.55139 	 15211034.71635 	 15221862.59937 	    4.17446 	    4.22393 	    8.61173 	    7.75111 	    0.00030 	    0.00030 	    0.00102 	    0.00102 	    0.00280 	    0.00280 	    0.00000 	    0.00000 	    0.74200 	    0.74200 	    0.25197 	    0.25197 	   -9.45196 	   -9.12414
320	1	1	merger_MS	    3.16236	    0.36607	    0.38493	    0.38493 	    4.15704 	    3.80031 	    2.10061 	    0.13732 	    0.28227 	    0.25128 	    0.71172 	    0.74254 	    2.10108 	    0.10789 	    0.00000 	    0.00000 	    0.25949 	   -0.00870 	 25442320.31081 	    0.00000 	    4.41842 	    4.41737 	    3.16255 	    0.35811 	    0.00012 	    0.00028 	    0.00046 	    0.00103 	    0.00077 	    0.00248 	    0.00000 	    0.00000 	    0.85835 	    0.70081 	    0.14004 	    0.29310 	  -12.34996 	  -11.79070
337	1	 - 	 single 	   6.93504	 - 	 - 	 - 	    4.33829 	 - 	    3.38883 	 - 	    0.43480 	 - 	    0.55936 	 - 	    3.38913 	 - 	    0.00000 	 - 	    0.54110 	 - 	 22846894.80272 	 - 	    4.19590 	 - 	    6.93008 	 - 	    0.00030 	 - 	    0.00102 	 - 	    0.00280 	 - 	    0.00000 	 - 	    0.74200 	 - 	    0.25197 	 - 	   -9.37929 	 -
477	1	1	not_interacting	    3.77527	    1.24208	  648.13284	  648.13284 	    4.20108 	    3.91719 	    2.38836 	    0.74252 	    0.29966 	    0.25546 	    0.69440 	    0.73835 	    2.38876 	    0.74200 	    0.00000 	    0.00000 	    0.31529 	    0.06013 	 26178489.71085 	 14316877.05878 	    4.38371 	    4.46144 	    3.77464 	    1.23839 	    0.00015 	    0.00003 	    0.00058 	    0.00051 	    0.00106 	   -0.00040 	    0.00000 	    0.00000 	    0.83025 	    0.82059 	    0.16755 	    0.17933 	  -11.65400 	  -11.40958
479	1	1	strip_RLOF_HG	    4.37212	    3.14915	   16.20664	   16.20664 	    4.23254 	    4.15299 	    2.66442 	    2.10753 	    0.36984 	    0.30318 	    0.62430 	    0.69086 	    2.66471 	    2.10791 	    0.00000 	    0.00000 	    0.39039 	    0.27105 	 42950919.68756 	 42960539.07188 	    4.29750 	    4.39343 	    4.37267 	    3.14911 	    0.00014 	    0.00013 	    0.00052 	    0.00049 	    0.00091 	    0.00088 	    0.00000 	    0.00000 	    0.83776 	    0.85515 	    0.16040 	    0.14303 	  -11.16450 	  -12.28753
555	1	1	strip_RLOF_HG	    2.16438	    1.75984	    4.01718	    4.01718 	    4.05238 	    3.99476 	    1.48444 	    1.15990 	    0.27155 	    0.26445 	    0.72232 	    0.72936 	    1.48492 	    1.16004 	    0.00000 	    0.00000 	    0.16071 	    0.11370 	 39675184.05096 	 35945646.11922 	    4.45159 	    4.46170 	    2.16518 	    1.75867 	    0.00000 	    0.00001 	    0.00001 	    0.00014 	    0.00000 	   -0.00002 	    0.00000 	    0.00000 	    0.99354 	    0.92205 	    0.00644 	    0.07781 	  -14.55817 	  -11.87590
