#
#     Data from population synthesis for run4
#
# By Ylva Gotberg, 2023-10-03
#
# Initial conditions:
#   Using the single star models from /home/adesai/snap/firefox/common/Downloads/evolutionary_tracks/grid_006_single_star/ to determine the radii of donors at different evolutionary stages
#   This means that we assume metallicity, Z=0.006
#   Using the lifetimes of stars from single star models in/home/adesai/snap/firefox/common/Downloads/evolutionary_tracks/grid_006_single_star/
#   IMF: Kroupa, M_min = 0.1 Msun, M_max = 100.0 Msun 
# We assume the star-formation type: starburst, with a total mass of stars of 1000000.0 Msun
# This file contains the information about the stars that are present in the population after 5000000.0 years
#   fbin:moe
#   q distribution: flat, 0.1 < q < 1.0
#   P distribution: Sana+12 for M1>15 Msun and Opik24 for M1<15 Msun
#
# Physical assumptions:
#   Critical mass ratio for the donor main sequence, q_crit_MS=0.65
#   Critical mass ratio for the donor Hertzsprung gap, q_crit_HG=0.4
#   Using the alpha-prescription for common envelope evolution
#   alpha_CE = 1.0, lambda_CE = 0.5
#   Using the binary star models from /home/adesai/snap/firefox/common/Downloads/evolutionary_tracks/grid_006/ to determine the masses and radii of stripped stars
#   Stripped stars can only be formed from donor stars with 2.0 < M1init/Msun < 100.0
#   Actually, we assume that binary interaction only can occur in the above mass range.
#   For stripped stars we set the total lifetime to tau_MS+tau_strip, where the duration of the stripped phases (tau_strip) come from the binary models in/home/adesai/snap/firefox/common/Downloads/evolutionary_tracks/grid_006/
#   Mass transfer efficiency is set to beta_MS = 1.0, beta_HG = 0.0, beta_HG_CEE = 0.0
#   For mergers, we assume that their final mass is M1init+M2init
#   The final period is set by the treatment of angular momentum during interaction, we ignore the effect of wind mass loss on the period.
#   We use the isotropic_reemission setting for the treatment of angular momentum.
#   For common envelope, the period is set in the alpha prescription
#   Rejuvenation of mass gainers and MSMS mergers is set by Tout97
#   HGMS mergers are not rejuvenated, but their lifetimes are adapted to the new mass
#
# Even though the full population synthesis accounts for the full mass range from 0.1 to 100.0 Msun, 
# I will only keep the stars with initial masses (Minit or M1init) between 2.0 and 100.0 Msun.
# I am ignoring single stars that died and binaries in which at least the primary died.
# I show dead secondaries as long as the primary is still alive
# For the star state: 1 - main-sequence star, 2 - stripped star, 3 - post main-sequence star, 4 - compact object, 51 - merger product in MS stage.
# In this output, we only output the stripped star systems.
#
# Star_ID 	 Star_state_m1 	 Star_state_m2 	 Evolution 	 M1init 	 M2init 	 Pinit 	 Pcurrent 	 log_Teff_1 	 log_Teff_2 	 log_L_1 	 log_L_2 	 center_he4_1 	 center_he4_2 	 center_h1_1 	 center_h1_2 	 log_Lnuc_1 	 log_Lnuc_2 	 he_core_mass_1 	 he_core_mass_2 	 log_R_1 	 log_R_2 	 star_age_1 	 star_age_2 	 log_g_1 	 log_g_2 	 star_mass_1 	 star_mass_2 	 surface_n14_1 	 surface_n14_2 	 surface_c12_1 	 surface_c12_2 	 surface_o16_1 	 surface_o16_2 	 surf_avg_v_rot_1 	 surf_avg_v_rot_2 	 surface_h1_1 	 surface_h1_2 	 surface_he4_1 	 surface_he4_2 	 log_abs_mdot_1 	 log_abs_mdot_2
24868	2	1	strip_RLOF_MS	   43.52424	   33.22314	    6.10937	   16.16698 	    4.73932 	    4.60609 	    6.79048 	    5.30897 	    0.54204 	    0.50719 	    0.00000 	    0.48698 	    6.78995 	    5.30926 	   18.23967 	    0.00000 	    1.43986 	    0.96557 	 -11007930.23025 	 3003833.87893 	    3.24149 	    4.02024 	   20.13691 	   32.62228 	    0.00138 	    0.00030 	    0.00029 	    0.00102 	    0.00245 	    0.00280 	    0.14865 	    0.00000 	    0.80953 	    0.74200 	    0.18439 	    0.25197 	   -4.13112 	   -6.54747
75648	2	1	strip_RLOF_HG	   44.46406	   42.04113	  487.98643	 1829.41540 	    4.84289 	    4.32096 	    6.75311 	    5.73358 	    0.31771 	    0.98394 	    0.00000 	    0.01023 	    6.75428 	    5.73233 	   18.81305 	    0.00000 	    1.21403 	    1.74813 	 -11955779.54156 	 5006903.90766 	    3.70783 	    2.52288 	   20.08535 	   38.15914 	    0.00236 	    0.00030 	    0.00003 	    0.00102 	    0.00178 	    0.00280 	    1.24172 	    0.00000 	    0.76651 	    0.74200 	    0.22745 	    0.25197 	   -4.13473 	   -5.20541
142672	2	1	strip_RLOF_MS	   44.85901	   37.01528	    3.68523	   10.46681 	    4.87987 	    4.60799 	    6.77800 	    5.43418 	    0.23622 	    0.56181 	    0.00000 	    0.43236 	    6.77792 	    5.43449 	   18.99294 	    0.00000 	    1.15253 	    1.02438 	 -12360258.10396 	 3177202.77863 	    3.83670 	    3.94543 	   20.04270 	   36.01257 	    0.00266 	    0.00030 	    0.00003 	    0.00102 	    0.00144 	    0.00280 	   -2.98800 	    0.00000 	    0.76943 	    0.74200 	    0.22457 	    0.25197 	   -4.10072 	   -6.32744
174427	2	1	strip_CEE_HG	   44.50864	   39.78114	 1374.50176	   22.53213 	    4.84640 	    4.41877 	    6.75530 	    5.66683 	    0.30863 	    0.92903 	    0.00000 	    0.06515 	    6.75630 	    5.66730 	   18.86745 	    0.00000 	    1.20812 	    1.51913 	 -12001100.69614 	 5004202.56819 	    3.72031 	    2.96939 	   20.08139 	   37.15598 	    0.00242 	    0.00030 	    0.00003 	    0.00102 	    0.00172 	    0.00280 	    1.70775 	    0.00000 	    0.75085 	    0.74200 	    0.24311 	    0.25197 	   -4.11554 	   -6.37232
209109	2	1	strip_RLOF_HG	   44.65828	   26.76931	  699.16019	 1139.59011 	    4.84882 	    4.55636 	    6.76338 	    5.17518 	    0.27820 	    0.63688 	    0.00000 	    0.35729 	    6.76317 	    5.17555 	   18.93626 	    0.00000 	    1.20731 	    0.99812 	 -12154376.63044 	 5005946.96740 	    3.72406 	    3.86086 	   20.06382 	   26.26984 	    0.00245 	    0.00030 	    0.00003 	    0.00102 	    0.00167 	    0.00280 	   -2.72614 	    0.00000 	    0.80851 	    0.74200 	    0.18546 	    0.25197 	   -4.15486 	   -6.78647
218469	2	1	strip_RLOF_HG	   45.57600	   32.12606	  935.42384	 2139.89953 	    5.02554 	    4.53775 	    6.83375 	    5.40398 	    0.12438 	    0.75365 	    0.00000 	    0.24053 	    6.83243 	    5.40442 	   19.33493 	    0.00000 	    0.88905 	    1.14974 	 -13097418.77117 	 5011226.20488 	    4.37286 	    3.62880 	   19.92009 	   30.96064 	    0.00362 	    0.00030 	    0.00004 	    0.00102 	    0.00032 	    0.00280 	   -3.66910 	    0.00000 	    0.73276 	    0.74200 	    0.26138 	    0.25197 	   -3.94675 	   -6.41749
300651	2	1	strip_RLOF_HG	   45.79787	   22.54254	  170.85832	  163.73810 	    5.14463 	    4.55069 	    6.84928 	    4.94968 	    0.09371 	    0.54898 	    0.00000 	    0.44519 	    6.84664 	    4.95000 	   19.46277 	    0.00000 	    0.65864 	    0.89672 	 -13327787.50062 	 5009571.45578 	    4.83487 	    3.99314 	   19.83697 	   22.33327 	    0.00380 	    0.00030 	    0.00004 	    0.00102 	    0.00011 	    0.00280 	   -3.67424 	    0.00000 	    0.53970 	    0.74200 	    0.45446 	    0.25197 	   -3.72728 	   -7.20011
354402	2	1	strip_RLOF_MS	   43.61249	   38.11895	    6.45469	   19.83814 	    4.75436 	    4.60926 	    6.77586 	    5.46252 	    0.52175 	    0.56913 	    0.00000 	    0.42505 	    6.77594 	    5.46283 	   18.32655 	    0.00000 	    1.40247 	    1.03600 	 -11095936.72510 	 3160110.66609 	    3.31764 	    3.93369 	   20.13375 	   37.00542 	    0.00141 	    0.00030 	    0.00029 	    0.00102 	    0.00243 	    0.00280 	   -3.05083 	    0.00000 	    0.82559 	    0.74200 	    0.16833 	    0.25197 	   -4.16960 	   -6.27950
375147	2	1	strip_RLOF_MS	   44.87847	   41.42584	    2.13836	    6.84080 	    4.88194 	    4.60506 	    6.77948 	    5.55738 	    0.23421 	    0.61885 	    0.00000 	    0.37532 	    6.77965 	    5.55772 	   19.00187 	    0.00000 	    1.14912 	    1.09184 	 -12379997.89223 	 3290973.16458 	    3.84381 	    3.85389 	   20.04108 	   39.80973 	    0.00267 	    0.00030 	    0.00003 	    0.00102 	    0.00142 	    0.00280 	   -1.17722 	    0.00000 	    0.76644 	    0.74200 	    0.22756 	    0.25197 	   -4.09510 	   -6.11655
381088	2	1	strip_RLOF_HG	   43.54802	   40.51067	   31.31187	  116.19002 	    4.74319 	    4.39546 	    6.78682 	    5.69027 	    0.53936 	    0.94697 	    0.00000 	    0.04720 	    6.78703 	    5.69065 	   18.29194 	    0.00000 	    1.43029 	    1.57747 	 -11031426.80195 	 4999035.55923 	    3.26103 	    2.85975 	   20.13689 	   37.74118 	    0.00139 	    0.00030 	    0.00029 	    0.00102 	    0.00244 	    0.00280 	   -2.57385 	    0.00000 	    0.81326 	    0.74200 	    0.18065 	    0.25197 	   -4.14031 	   -6.44898
